"","ID","species","sharpschoolhigh_1981","sharpschoollow_1981","sharpschoolfull_1981","rubisco_best_model"
"1",1,"Gossypium hirsutum","-63.9269536541692","-31.7613465624354","-68.6276306263662","sharpschoolfull_1981"
"2",2,"Gossypium hirsutum","NULL","NULL","NULL","NA"
"3",3,"Camelina sativa","-42.6069254958031","-14.046625481329","-36.1756842597396","sharpschoolhigh_1981"
"4",4,"Nicotiana tabacum","-66.9270329934958","-30.7077766092025","-62.7946626182903","sharpschoolhigh_1981"
"5",5,"Spinacia oleracea","43.6157966737899","77.1487370175031","69.4364185509378","sharpschoolhigh_1981"
"6",6,"Spinacia oleracea","43.5693435954492","75.2648453945518","52.7484765183873","sharpschoolhigh_1981"
"7",7,"Ipomoea batatas","38.2884932956571","68.2275762492825","70.0661629364585","sharpschoolhigh_1981"
"8",8,"Ipomoea batatas","39.6143785292302","66.1817437888713","60.3995020358731","sharpschoolhigh_1981"
"9",9,"Ipomoea batatas","32.8414206809218","65.7327052276699","59.0214825657566","sharpschoolhigh_1981"
"10",10,"Triticum aestivum","23.9469952315699","60.739242302169","62.7192371928865","sharpschoolhigh_1981"
"11",11,"Oryza sativa","45.5880128108536","64.1011043162825","59.2781520758631","sharpschoolhigh_1981"
"12",12,"Oryza sativa","28.6519505162553","64.0664996627168","58.131075544144","sharpschoolhigh_1981"
"13",13,"Oryza sativa","34.8157480871075","63.3965884146386","60.8738719780753","sharpschoolhigh_1981"
"14",14,"Larrea tridentata","NULL","NULL","NULL","NA"
"15",15,"Larrea tridentata","-16.8552247242881","14.594985955559","-33.7626767613365","sharpschoolfull_1981"
"16",16,"Deschampsia antarctica","NULL","NULL","NULL","NA"
"17",17,"Deschampsia antarctica","-11.2513616615911","17.2769721907475","7.61268939197651","sharpschoolhigh_1981"
"18",18,"Pisum sativum","NULL","NULL","NULL","NA"
"19",19,"Pisum sativum","NULL","NULL","NULL","NA"
"20",20,"Quercus pubescens","NULL","NULL","NULL","NA"
"21",21,"Triticum aestivum","NULL","NULL","NULL","NA"
"22",22,"Triticum aestivum","NULL","NULL","NULL","NA"
"23",23,"Oryza meridionalis","39.1221557258596","52.1676714774415","56.6462395047689","sharpschoolhigh_1981"
"24",24,"Oryza australiensis","-25.1342169779635","-0.407386859907737","6.87519645523364","sharpschoolhigh_1981"
"25",25,"Oryza australiensis","-19.7921030419777","-11.2218821397803","NULL","sharpschoolhigh_1981"
"26",26,"Nicotiana rusticum","21.5046622409421","39.4669184862024","25.5046622517533","sharpschoolhigh_1981"
"27",27,"Nicotiana rusticum","0.308131464676197","38.9795044807827","-12.2651904231742","sharpschoolfull_1981"
"28",28,"Medicago sativa","56.7653875564357","65.9857071345792","46.5866753122856","sharpschoolfull_1981"
"29",29,"Gossypium barbadense","NULL","NULL","NULL","NA"
"30",30,"Nicotiana tabacum","23.0387597108413","61.2261420283787","57.8590914735175","sharpschoolhigh_1981"
"31",31,"Nicotiana tabacum","24.3890950543532","59.7980133371839","57.8408378502822","sharpschoolhigh_1981"
"32",32,"Nicotiana tabacum","16.8838683064745","58.0966270275341","55.430557639857","sharpschoolhigh_1981"
"33",33,"Nicotiana tabacum","17.3142648875455","62.2935190121923","54.4563069458267","sharpschoolhigh_1981"
"34",34,"Nicotiana tabacum","NULL","NULL","NULL","NA"
"35",35,"Nicotiana tabacum","20.3840721279168","60.0926510708037","59.8264182613777","sharpschoolhigh_1981"
"36",36,"Hordeum vulgare","24.973871485124","52.652723396419","66.6910086785206","sharpschoolhigh_1981"
"37",37,"Hordeum vulgare","NULL","35.914832636139","NULL","sharpschoollow_1981"
"38",38,"Brassica Rapa","21.6882022119368","41.608964619222","67.1485937699319","sharpschoolhigh_1981"
"39",39,"Brassica Rapa","NULL","40.1885362532711","NULL","sharpschoollow_1981"
"40",40,"Vicia faba","-1.65530728795237","51.0575461439295","69.5785733793817","sharpschoolhigh_1981"
"41",41,"Vicia faba","NULL","43.3909538924351","NULL","sharpschoollow_1981"
"42",42,"Chenopodium album","NULL","26.3568342454985","NULL","sharpschoollow_1981"
"43",43,"Chenopodium album","NULL","26.7555638917135","NULL","sharpschoollow_1981"
"44",44,"Helianthus annuus","NULL","46.3884038873557","NULL","sharpschoollow_1981"
"45",45,"Helianthus annuus","NULL","33.1855901764203","NULL","sharpschoollow_1981"
"46",46,"Lycopersicon esculentum","NULL","37.7866461477417","NULL","sharpschoollow_1981"
"47",47,"Lycopersicon esculentum","NULL","31.2794442876722","NULL","sharpschoollow_1981"
"48",48,"Glycine max","NULL","13.3113059938793","NULL","sharpschoollow_1981"
"49",49,"Glycine max","NULL","36.5893262818789","NULL","sharpschoollow_1981"
"50",50,"Abutilon theophrasti","NULL","44.1589524196063","NULL","sharpschoollow_1981"
"51",51,"Abutilon theophrasti","NULL","24.2785306650097","NULL","sharpschoollow_1981"
"52",52,"Acer pseudoplatanus","-4.77056136666459","21.8610960359147","-2.37451650903211","sharpschoolhigh_1981"
"53",53,"Betula pendula","-4.68633480379151","23.3146931474676","-3.6135606952623","sharpschoolhigh_1981"
"54",54,"Fagus sylvatica","-7.2108204056938","13.2096156808712","-3.21082033816928","sharpschoolhigh_1981"
"55",55,"Fraxnius excelsior","NULL","-6.78626233429471","NULL","sharpschoollow_1981"
"56",56,"Jugulars regia","-11.6800389241514","21.4378774646854","-18.4777351743569","sharpschoolfull_1981"
"57",57,"Quercus petrea","1.7072782532677","11.2487974522784","5.70787984796815","sharpschoolhigh_1981"
"58",58,"Quercus robur","-15.0305003911316","18.0886108057831","-17.2354867274951","sharpschoolfull_1981"
"59",59,"Prunus persica","NULL","48.0089394188015","NULL","sharpschoollow_1981"
"60",60,"Glycine max","88.0073781968988","88.292114657177","NULL","sharpschoolhigh_1981"
"61",61,"Glycine max","-11.1250710145109","4.52518621210425","-7.12507098803438","sharpschoolhigh_1981"
"62",62,"Gossypium hirsutum","6.3442146883159","15.9633544242427","10.3442147037251","sharpschoolhigh_1981"
"63",63,"Hordeum vulgare","NULL","20.1560967618266","NULL","sharpschoollow_1981"
"64",64,"Hordeum vulgare","NULL","40.47607977305","NULL","sharpschoollow_1981"
"65",65,"Pinus sylvestris","30.2639588071212","50.7721108257421","33.4169531142361","sharpschoolhigh_1981"
"66",66,"Pinus sylvestris","29.3831905385175","34.8025403144702","18.1174135340773","sharpschoolfull_1981"
"67",67,"Pinus sylvestris","15.0492002750392","47.8646399922989","18.8828663660652","sharpschoolhigh_1981"
"68",68,"Pinus sylvestris","22.6611263990826","39.7773483958013","25.9574517204124","sharpschoolhigh_1981"
"69",69,"Fagus sylvatica","NULL","13.1798465718805","NULL","sharpschoollow_1981"
"70",70,"Fagus sylvatica","NULL","20.748853830594","NULL","sharpschoollow_1981"
"71",71,"Oryza australiensis","-38.8637606396087","-23.0991943835299","-14.6605933144702","sharpschoolhigh_1981"
